,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
65,161,0.21,-0.45,0.15,4.348,-0.314,0.075,19.522194985760258,6.026668735324137,8.14567787669786,6535.0,-351.0,211.0
66,162,-0.18,-0.3,0.28,3.7969999999999997,-0.14,0.41600000000000004,14.839781409420084,1.0543621633826774,0.8618616959734329,6231.0,-199.0,180.0
67,163,0.36,-0.15,0.08,4.547,-0.149,0.016,17.094286016032505,0.6008331722794722,0.8939777219198888,5377.0,-104.0,97.0
68,165,-0.02,-0.28,0.24,4.12,-0.22399999999999998,0.256,16.829628125178285,0.9011163840987333,16.64891102548798,5796.0,-165.0,162.0
69,166,0.18,-0.12,0.14,4.349,-0.113,0.115,16.512451003501514,1.7034058184925662,3.0800810032253985,5473.0,-91.0,103.0
70,168,0.32,-0.24,0.14,4.4,-0.43200000000000005,0.131,9.112385194459584,2.6624127127380026,2.5062625920328347,5188.0,-154.0,188.0
71,171,0.2,-0.1,0.16,4.338,-0.042,0.057,8.834753041944587,0.24086965947728167,0.26930416973857696,5356.0,-64.0,109.0
72,172,,,,,,,46.43324791512022,7.225186608840367,8.552621992373943,,,
73,173,0.36,-0.15,0.08,4.521,-0.153,0.019,0.5242754825917123,0.015425550288877043,0.43788103968919734,5575.0,-116.0,82.0
74,174,-0.16,-0.3,0.23,4.495,-0.28800000000000003,0.043,23.404034530835407,7.937447912365036,14.661719698249808,6075.0,-185.0,144.0
75,176,-0.14,-0.32,0.22,4.272,-0.319,0.13,5.826208742461148,0.3785893936015805,1.17660296237215,6432.0,-229.0,157.0
76,177,0.02,-0.14,0.14,4.336,-0.125,0.11199999999999999,20.070165506645704,1.6048757263436357,1.9297076441314296,5735.0,-115.0,107.0
77,179,-0.2,-0.14,0.18,4.448,-0.11800000000000001,0.085,15.016274516377543,2.5980292472104427,6.805277633670308,5516.0,-96.0,122.0
78,180,,,,,,,15.77539099319095,0.06366445678124322,0.0679583157607162,,,
79,186,0.0,-0.14,0.16,4.026,-0.122,0.18899999999999997,21.202389222605337,5.209332821683496,1.0177929559657493,5683.0,-98.0,113.0
80,191,-0.14,-0.3,0.22,4.42,-0.303,0.063,28.777950416227377,16.7917710083421,8.935692322182362,6177.0,-212.0,165.0
81,195,-0.16,-0.26,0.36,4.47,-0.461,0.095,21.976869641096563,3.3056292615495693,10.838388553447295,5300.0,-144.0,179.0
82,197,-0.2,-0.28,0.27,4.532,-0.29100000000000004,0.031,21.566214552490905,2.5773474544605577,3.9863803579200585,5926.0,-170.0,161.0
83,201,0.26,-0.14,0.14,4.57,-0.053,0.017,15.972785751696879,1.8771295333223748,2.375673973275493,4911.0,-95.0,101.0
84,203,-0.56,-0.26,0.32,4.361000000000001,-0.314,0.182,12.274426986441949,0.07267783350939183,0.07096227183849635,5763.0,-145.0,171.0
85,209,-0.28,-0.3,0.3,4.279,-0.244,0.161,10.933610604255385,0.22526159004676316,0.2413347666011454,6126.0,-180.0,155.0
86,211,0.07,-0.15,0.13,3.755,-0.163,0.091,19.55811962275417,3.606518728703172,2.2381309574853283,5009.0,-92.0,81.0
87,214,-0.24,-0.28,0.28,4.349,-0.25,0.12,15.096437126552246,0.7393630878173081,0.7862781394300207,6038.0,-191.0,164.0
88,232,-0.34,-0.24,0.32,4.2669999999999995,-0.221,0.212,22.16054748832507,2.8331522496423176,4.469568001621905,5775.0,-140.0,164.0
89,237,-0.04,-0.28,0.28,4.602,-0.11699999999999999,0.027000000000000003,23.840780997237243,0.3134050008002127,0.365294932535285,5153.0,-143.0,170.0
90,238,0.04,-0.28,0.28,4.529,-0.649,0.059000000000000004,10.388327149319977,0.841388578848667,4.674367274223098,4911.0,-128.0,157.0
91,241,0.07,-0.33,0.15,4.466,-0.292,0.045,1.0999014066201642,0.2497604435841536,0.02430086574607282,6108.0,-234.0,159.0
92,245,0.2,-0.162,0.162,3.306,-0.045,0.045,41.77718525584018,4.077828512183039,4.46494774625301,4840.0,-97.0,97.0
93,246,-0.18,-0.28,0.25,4.521,-0.307,0.034,16.384384636395026,0.29869749929370926,0.3533670228429493,5970.0,-182.0,163.0
94,257,0.06,-0.3,0.18,4.449,-0.292,0.057,7.9385211807161,0.07896209064377135,0.08258555282805169,5883.0,-180.0,153.0
95,260,0.07,-0.31,0.17,4.489,-0.28800000000000003,0.040999999999999995,7.333816952165058,0.10587758942496617,0.12613026507129543,5993.0,-227.0,167.0
96,261,0.32,-0.16,0.08,4.503,-0.132,0.025,15.168755474472253,0.09962977668480555,0.099512907677207,5628.0,-114.0,92.0
97,262,-0.08,-0.28,0.22,4.518,-0.287,0.033,7.855914473732991,0.07011443795965544,0.06514293386372838,5896.0,-171.0,163.0
98,265,-0.02,-0.34,0.22,4.371,-0.345,0.068,12.47727098819999,0.2305264599266863,0.2855093233628292,6459.0,-245.0,164.0
99,269,-0.16,-0.14,0.16,4.141,-0.099,0.147,6.110603590469077,0.8005295011453244,0.6262992405821199,5716.0,-87.0,111.0
100,270,-0.14,-0.3,0.24,4.496,-0.294,0.044000000000000004,22.086373362768878,2.336096302270988,2.7932693061359792,5973.0,-174.0,147.0
101,271,0.1,-0.26,0.2,4.507,-0.28600000000000003,0.036000000000000004,10.202515347743105,0.09865346698200739,0.094127756135304,5798.0,-196.0,167.0
102,273,-0.1,-0.3,0.24,4.185,-0.289,0.20199999999999999,27.37482084124333,5.047984909940272,4.062847798300961,6190.0,-178.0,158.0
103,274,0.04,-0.16,0.1,4.074,-0.054000000000000006,0.045,20.70437529362941,2.2583279060155803,1.7893183084351136,6290.0,-120.0,105.0
104,275,-0.38,-0.14,0.16,4.595,-0.035,0.032,29.86639932698466,9.052963059693923,0.6729956579373244,5074.0,,101.0
105,276,-0.16,-0.28,0.34,4.611000000000001,-0.09699999999999999,0.028999999999999998,19.22051588963179,1.3698219537438057,1.957005166432122,5076.0,-131.0,161.0
106,277,-0.18,-0.28,0.26,4.523,-0.298,0.037000000000000005,20.236924524617546,1.3311960357207404,1.438976096715944,5814.0,-153.0,153.0
107,279,-0.03,-0.101,0.101,3.465,-0.01,0.01,10.240893498772932,1.232824549022265,0.4062506789673108,5048.0,-75.0,75.0
108,280,0.21,-0.17,0.09,4.457,-0.16699999999999998,0.024,22.504612185983582,4.19065833074939,7.963668982179836,6029.0,-141.0,96.0
109,281,0.24,-0.14,0.16,3.915,-0.10099999999999999,0.172,22.291674040146876,3.103668685129943,6.080926007900203,5720.0,-100.0,121.0
110,282,-0.14,-0.28,0.26,4.4319999999999995,-0.26899999999999996,0.075,27.46652043653645,12.783831186752787,9.46440113270917,5907.0,-180.0,166.0
111,283,0.06,-0.16,0.16,3.9530000000000003,-0.096,0.196,17.88425438715464,0.15141189691890133,0.15062594328567513,5858.0,-110.0,126.0
