star pmax prot height tau quality
103 100 13.776 0.195 2.064 4.52
104 1 0.797 0.138 0.021 3.98
104 3 nan -inf nan nan
104 5 nan -inf nan nan
104 10 nan -inf nan nan
104 30 19.704 0.074 11.685 548.38
104 50 19.888 0.059 9.674 249.96
104 100 18.682 0.040 5.203 61.79
105 1 nan -inf nan nan
105 3 1.472 0.134 1.084 108.06
105 5 1.369 0.090 0.383 23.25
105 10 10.506 0.177 5.401 116.45
105 30 34.625 0.313 2.315 2.35
105 50 34.114 0.288 16.031 25.50
105 100 33.828 0.094 10.351 4.83
106 1 0.736 0.104 0.028 3.66
106 3 2.739 0.151 0.857 31.99
106 5 4.333 0.121 1.660 37.95
106 10 8.891 0.228 2.937 42.60
106 30 27.532 0.234 12.805 53.64
106 50 56.353 0.494 56.614 59.12
106 100 64.426 0.816 133.013 654.74
107 1 0.858 0.127 0.023 3.59
107 3 2.351 0.044 0.119 8.06
107 5 nan -inf nan nan
107 10 11.365 0.078 4.011 97.20
107 30 17.394 0.142 7.799 45.11
107 50 42.760 0.170 21.043 25.67
107 100 56.209 0.108 18.389 11.09
108 1 0.756 0.496 0.854 67.01
108 3 0.756 0.224 2.013 61.08
108 5 0.715 0.081 0.193 3.59
108 10 1.083 0.078 0.136 3.82
108 30 14.880 0.371 13.499 321.48
108 50 14.492 0.267 11.558 207.53
108 100 13.552 0.112 1.848 3.29
109 1 0.818 0.126 0.022 3.84
109 3 nan -inf nan nan
109 5 4.170 0.058 0.969 46.52
109 10 11.794 0.073 0.667 7.04
109 30 34.727 0.289 55.636 255.09
109 50 35.300 0.547 58.618 2131.23
109 100 35.606 0.360 36.538 143.44
110 1 0.675 0.116 0.023 4.34
110 3 nan -inf nan nan
110 5 4.272 0.039 1.180 46.21
110 10 10.465 0.117 4.727 56.26
110 30 18.580 0.562 14.250 145.53
110 50 18.907 0.413 12.570 109.90
110 100 18.028 0.226 3.741 4.86
111 1 0.756 0.133 2.500 94.03
111 3 nan -inf nan nan
111 5 nan -inf nan nan
111 10 nan -inf nan nan
111 30 31.825 0.158 37.661 278.72
111 50 33.113 0.265 37.307 2127.50
111 100 33.807 0.185 28.824 285.90
112 1 0.634 0.130 0.023 5.09
112 3 nan -inf nan nan
112 5 nan -inf nan nan
112 10 12.611 0.065 3.337 42.11
112 30 13.654 0.107 7.317 147.49
112 50 13.306 0.076 4.143 28.90
112 100 90.221 0.086 32.674 44.51
113 1 0.143 0.028 0.059 2.97
113 3 2.841 0.095 0.156 6.53
113 5 4.476 0.106 1.393 46.37
113 10 9.607 0.211 3.982 74.28
113 30 29.863 0.294 18.874 29.90
113 50 32.642 0.229 14.969 38.13
113 100 81.964 0.318 36.862 17.65
114 1 0.143 0.025 0.058 2.60
114 3 nan -inf nan nan
114 5 nan -inf nan nan
114 10 nan -inf nan nan
114 30 33.501 0.298 41.738 734.64
114 50 35.647 0.592 39.565 256.22
114 100 36.076 0.498 31.513 49.15
115 1 0.736 0.134 0.021 4.32
115 3 nan -inf nan nan
115 5 nan -inf nan nan
115 10 nan -inf nan nan
115 30 36.730 0.295 77.427 303.52
115 50 38.018 0.779 228.062 1522.68
115 100 38.631 0.695 354.268 2182.03
116 1 0.634 0.130 0.117 8.65
116 3 nan -inf nan nan
116 5 4.435 0.100 5.866 248.19
116 10 8.830 0.377 17.067 448.88
116 30 8.850 0.343 12.684 639.72
116 50 8.707 0.209 11.785 274.36
116 100 29.781 0.025 5.500 5.67
117 1 0.818 0.217 0.306 29.80
117 3 2.575 0.177 1.103 12.67
117 5 5.192 0.710 9.254 160.51
117 10 10.240 1.262 42.132 567.08
117 30 10.302 1.109 48.314 2134.85
117 50 10.240 0.769 39.175 867.40
117 100 32.826 0.024 26.089 13.56
118 1 0.123 0.046 0.028 6.85
118 3 2.248 0.730 9.386 1671.61
118 5 2.248 0.734 7.903 3088.88
118 10 2.248 0.551 5.785 1800.26
118 30 3.332 0.131 6.136 216.60
118 50 2.085 0.148 0.243 10.00
118 100 76.956 0.133 35.916 32.39
119 1 0.123 0.028 0.028 4.80
119 3 1.942 0.173 1.406 124.35
119 5 1.758 0.074 0.368 2.23
119 10 6.050 0.422 11.367 237.49
119 30 18.825 0.279 11.279 7.15
119 50 36.853 0.588 24.976 30.88
119 100 38.263 0.587 22.992 23.81
120 1 0.654 0.104 0.035 2.75
120 3 2.882 0.092 0.804 16.22
120 5 4.313 0.180 1.672 107.91
120 10 11.508 0.129 4.165 21.50
120 30 19.459 0.567 12.154 31.18
120 50 19.806 0.289 9.314 11.61
120 100 18.559 0.081 4.945 2.83
121 1 0.654 0.131 0.215 9.96
121 3 nan -inf nan nan
121 5 nan -inf nan nan
121 10 9.341 0.056 2.922 101.18
121 30 26.286 0.068 13.487 144.49
121 50 49.771 0.068 11.160 24.19
121 100 53.900 0.104 15.888 29.89
122 1 0.736 0.142 2.137 87.36
122 3 nan -inf nan nan
122 5 nan -inf nan nan
122 10 nan -inf nan nan
122 30 33.705 0.933 91.625 298.31
122 50 34.196 1.249 117.914 1282.06
122 100 34.523 1.091 85.995 723.08
123 1 0.123 0.054 0.024 6.22
123 3 2.535 0.160 0.920 59.65
123 5 4.946 0.166 1.359 22.92
123 10 8.973 0.131 3.619 100.15
123 30 20.828 0.120 7.863 40.79
123 50 61.994 0.190 19.411 15.48
123 100 86.133 0.571 90.024 164.47
124 1 0.123 0.042 0.031 9.53
124 3 nan -inf nan nan
124 5 nan -inf nan nan
124 10 8.380 0.080 3.183 321.26
124 30 28.391 0.667 26.630 105.13
124 50 30.946 0.809 39.505 199.26
124 100 30.823 0.548 29.236 37.03
125 1 1.063 0.197 0.635 45.91
125 3 2.351 0.997 3.575 731.24
125 5 2.391 0.915 2.950 820.81
125 10 2.412 0.646 2.748 1028.81
125 30 3.291 0.128 0.365 4.15
125 50 23.342 0.060 9.400 34.88
125 100 23.342 0.025 6.193 8.57
126 1 0.777 0.184 0.256 22.47
126 3 2.514 0.238 1.007 45.13
126 5 4.374 0.281 1.798 47.14
126 10 8.523 0.195 3.692 38.31
126 30 36.076 0.660 71.948 195.21
126 50 36.628 1.059 144.240 3898.33
126 100 36.689 0.649 214.925 555.76
127 1 0.715 0.135 0.022 4.53
127 3 2.964 0.053 0.122 6.39
127 5 nan -inf nan nan
127 10 11.099 0.035 0.709 9.97
127 30 23.976 0.653 148.855 11468.26
127 50 24.119 0.697 276.534 12532.74
127 100 24.078 0.533 221.199 2508.10
128 1 0.756 0.129 0.022 4.14
128 3 nan -inf nan nan
128 5 nan -inf nan nan
128 10 8.523 0.041 2.870 125.36
128 30 23.731 0.214 33.096 731.25
128 50 24.569 0.234 31.269 868.68
128 100 24.283 0.174 28.491 401.97
129 1 0.818 0.109 0.201 7.52
129 3 2.678 0.150 0.865 33.90
129 5 4.231 0.182 1.626 64.62
129 10 nan -inf nan nan
129 30 18.314 0.179 29.078 3.54
129 50 35.586 1.213 325.457 1461.13
129 100 35.627 0.932 497.101 3811.02
130 1 0.736 0.201 0.276 32.89
130 3 2.453 0.261 0.992 50.13
130 5 4.190 0.284 5.165 46.22
130 10 8.707 0.199 3.699 33.59
130 30 28.677 0.761 56.419 454.69
130 50 30.128 0.709 39.688 121.93
130 100 28.922 0.252 57.753 33.60
131 1 0.654 0.082 0.212 6.16
131 3 nan -inf nan nan
131 5 4.354 0.050 1.789 70.97
131 10 8.605 0.057 2.145 39.85
131 30 26.674 0.083 11.210 59.93
131 50 55.228 0.123 26.024 38.26
131 100 57.763 0.106 23.616 31.40
132 1 0.675 0.130 0.022 4.82
132 3 nan -inf nan nan
132 5 3.965 0.084 1.917 123.09
132 10 11.017 0.075 0.677 4.42
132 30 34.032 0.282 35.598 103.73
132 50 37.303 0.684 100.033 468.60
132 100 37.875 0.457 180.935 329.69
133 1 0.818 0.122 0.037 2.59
133 3 2.800 0.142 1.031 21.80
133 5 4.599 0.239 1.707 34.35
133 10 9.177 0.194 4.051 37.54
133 30 28.207 0.489 27.925 136.56
133 50 33.256 0.344 16.017 14.06
133 100 31.600 0.085 7.897 1.50
134 1 0.818 0.171 0.278 25.78
134 3 2.494 0.246 1.023 61.63
134 5 4.415 0.273 1.760 47.04
134 10 8.176 0.286 3.331 75.05
134 30 38.079 0.509 25.870 35.59
134 50 39.980 0.744 37.738 125.37
134 100 42.515 0.519 36.718 74.96
135 1 0.123 0.038 0.032 9.02
135 3 nan -inf nan nan
135 5 nan -inf nan nan
135 10 nan -inf nan nan
135 30 24.937 0.214 17.260 181.68
135 50 25.815 0.199 14.849 131.68
135 100 25.427 0.159 13.861 125.01
136 1 0.143 0.015 0.033 2.36
136 3 2.637 0.120 0.721 29.03
136 5 4.231 0.085 1.485 40.94
136 10 13.081 0.337 8.016 38.02
136 30 14.349 0.307 8.047 36.73
136 50 13.286 0.100 2.593 1.76
136 100 85.418 0.282 60.592 12.83
137 1 0.940 0.108 0.037 2.06
137 3 2.228 0.229 1.143 33.67
137 5 2.248 0.152 0.891 34.99
137 10 2.187 0.057 0.450 8.99
137 30 23.772 1.127 97.526 6690.17
137 50 24.242 1.065 83.472 4056.62
137 100 24.160 0.748 63.418 924.23
138 1 0.654 0.125 0.022 4.80
138 3 nan -inf nan nan
138 5 nan -inf nan nan
138 10 9.361 0.041 3.320 88.98
138 30 38.284 0.323 50.668 240.10
138 50 41.084 0.822 75.883 673.33
138 100 43.108 0.704 90.381 415.77
139 1 0.797 0.110 0.028 3.44
139 3 2.391 0.127 0.773 53.49
139 5 4.926 0.082 1.355 22.75
139 10 9.096 0.090 3.178 72.41
139 30 27.124 0.297 34.434 429.92
139 50 27.798 0.397 35.018 323.38
139 100 27.635 0.323 31.223 182.44
140 1 0.756 0.161 0.177 14.59
140 3 2.698 0.141 1.055 30.22
140 5 4.047 0.174 1.726 37.82
140 10 9.075 0.536 31.802 113.41
140 30 18.171 1.342 169.226 9599.38
140 50 18.171 1.152 217.400 12871.99
140 100 18.028 0.648 185.113 2248.19
141 1 0.715 0.134 0.022 4.38
141 3 3.148 0.032 0.105 3.97
141 5 nan -inf nan nan
141 10 8.483 0.052 3.505 153.72
141 30 28.902 0.453 37.099 391.57
141 50 30.762 0.578 50.660 715.54
141 100 30.905 0.319 40.904 70.67
142 1 0.879 0.101 0.168 5.97
142 3 2.412 0.214 0.952 67.37
142 5 5.008 0.160 1.946 26.32
142 10 15.636 0.674 26.862 67.59
142 30 15.923 1.179 60.245 4778.25
142 50 15.923 0.897 44.576 812.27
142 100 15.514 0.377 29.936 106.90
143 1 0.593 0.087 0.022 3.47
143 3 nan -inf nan nan
143 5 nan -inf nan nan
143 10 17.783 0.053 0.623 10.05
143 30 17.864 0.478 30.898 2500.47
143 50 18.048 0.415 24.543 1113.98
143 100 17.946 0.245 21.280 397.59
144 1 0.777 0.140 0.033 3.80
144 3 2.494 0.118 0.936 28.04
144 5 4.476 0.129 1.518 20.59
144 10 8.564 0.230 3.405 55.48
144 30 37.793 0.592 59.457 135.14
144 50 38.958 1.048 108.363 5405.83
144 100 39.367 0.634 93.525 241.30
145 1 0.675 0.141 0.027 4.01
145 3 nan -inf nan nan
145 5 nan -inf nan nan
145 10 nan -inf nan nan
145 30 34.870 0.098 11.421 24.60
145 50 36.833 0.225 25.764 198.04
145 100 71.887 0.149 22.683 15.25
146 1 0.123 0.033 0.030 6.62
146 3 2.535 0.049 -1.713 -0.14
146 5 nan -inf nan nan
146 10 15.596 0.075 0.698 7.32
146 30 16.434 0.201 11.387 715.32
146 50 16.229 0.135 7.380 47.67
146 100 15.534 0.070 2.519 6.33
147 1 0.838 0.124 0.022 3.67
147 3 3.005 0.047 0.130 6.21
147 5 nan -inf nan nan
147 10 15.064 0.387 6.271 15.58
147 30 15.085 0.546 10.620 144.97
147 50 14.819 0.317 6.808 23.23
147 100 75.198 0.248 46.686 60.62
148 1 0.797 0.117 0.029 3.79
148 3 2.514 0.130 0.813 41.05
148 5 4.068 0.116 1.641 54.71
148 10 10.199 0.129 2.850 11.96
148 30 40.818 0.634 96.227 323.72
148 50 41.350 1.176 152.155 4529.33
148 100 42.310 0.684 69.529 62.35
149 1 0.756 0.136 2.501 95.34
149 3 nan -inf nan nan
149 5 6.561 0.059 0.295 8.43
149 10 7.358 0.115 3.547 21.71
149 30 14.696 0.513 11.941 88.66
149 50 14.860 0.440 11.785 127.49
149 100 15.371 0.212 10.973 132.93
150 1 0.613 0.073 0.023 3.23
150 3 1.921 0.239 4.636 910.99
150 5 1.921 0.209 5.354 1374.60
150 10 1.901 0.139 4.870 698.79
150 30 26.674 0.078 11.582 108.71
150 50 29.576 0.083 12.889 88.70
150 100 28.698 0.025 6.990 12.11
151 1 0.123 0.027 0.029 4.45
151 3 2.862 0.036 0.113 4.04
151 5 4.354 0.066 0.936 41.56
151 10 15.514 0.287 14.146 113.02
151 30 16.168 0.902 31.928 1762.35
151 50 16.127 0.628 25.376 214.32
151 100 14.819 0.242 2.049 2.34
152 1 0.184 0.213 0.186 11.15
152 3 0.470 0.257 0.306 43.89
152 5 0.368 0.070 0.041 5.44
152 10 0.818 0.034 5.323 499.60
152 30 4.088 0.035 0.546 32.28
152 50 34.911 0.038 21.171 526.48
152 100 34.707 0.022 66.062 297.68
153 1 0.756 0.132 0.021 4.07
153 3 nan -inf nan nan
153 5 nan -inf nan nan
153 10 10.465 0.089 7.889 240.58
153 30 12.141 0.110 5.098 29.34
153 50 33.869 0.230 29.133 196.98
153 100 34.462 0.162 22.111 114.33
154 1 0.123 0.034 0.027 4.93
154 3 2.678 0.133 0.903 59.38
154 5 7.236 0.345 6.712 58.30
154 10 7.440 0.425 19.289 28.69
154 30 14.819 1.171 32.409 1297.75
154 50 14.860 0.976 27.191 953.81
154 100 15.003 0.429 23.318 283.24
155 1 0.736 0.150 0.042 2.99
155 3 2.432 0.075 0.121 3.27
155 5 4.068 0.094 0.210 6.75
155 10 12.121 0.056 21.402 62.12
155 30 27.348 0.033 1.735 7.82
155 50 42.556 0.161 42.740 613.69
155 100 44.068 0.203 36.178 274.65
156 1 0.715 0.139 0.021 4.48
156 3 nan -inf nan nan
156 5 nan -inf nan nan
156 10 nan -inf nan nan
156 30 28.166 0.334 25.360 300.51
156 50 29.842 0.418 21.567 88.37
156 100 30.108 0.282 18.536 65.80
157 1 0.654 0.078 0.023 2.60
157 3 2.862 0.039 0.098 4.42
157 5 nan -inf nan nan
157 10 nan -inf nan nan
157 30 21.564 0.111 34.941 810.68
157 50 21.911 0.107 51.496 1807.98
157 100 21.033 0.078 23.063 174.34
158 1 0.838 0.468 1.178 379.91
158 3 0.858 0.098 0.216 1.22
158 5 2.555 0.520 2.978 155.87
158 10 2.616 0.284 2.749 399.09
158 30 26.551 0.451 59.867 2271.02
158 50 27.083 0.541 51.524 2596.12
158 100 27.165 0.412 40.853 158.28
159 1 0.715 0.129 2.296 87.02
159 3 nan -inf nan nan
159 5 nan -inf nan nan
159 10 17.517 0.059 0.770 10.12
159 30 18.846 0.590 35.251 1726.22
159 50 18.866 0.484 33.669 492.66
159 100 18.375 0.248 23.955 91.85
160 1 0.675 0.137 0.022 4.73
160 3 nan -inf nan nan
160 5 nan -inf nan nan
160 10 10.445 0.064 4.365 98.85
160 30 26.265 0.461 31.791 492.35
160 50 26.981 0.366 24.993 116.67
160 100 73.113 0.305 48.284 59.56
161 1 0.818 0.194 0.289 25.78
161 3 2.841 0.283 1.325 23.29
161 5 3.229 0.195 1.347 54.56
161 10 10.813 0.300 7.500 37.65
161 30 23.077 1.005 48.189 218.42
161 50 23.424 0.924 52.641 276.69
161 100 23.322 0.551 49.254 125.21
162 1 0.695 0.115 0.024 4.25
162 3 2.187 0.094 0.639 46.74
162 5 4.374 0.078 1.560 40.11
162 10 9.280 0.104 3.265 32.27
162 30 30.598 0.721 50.543 395.33
162 50 32.234 0.825 52.142 1707.51
162 100 32.295 0.436 35.698 74.53
163 1 0.123 0.037 0.030 7.41
163 3 1.860 0.072 0.664 35.23
163 5 3.270 0.099 1.231 30.93
163 10 6.377 0.230 6.376 219.57
163 30 5.887 0.072 1.149 9.35
163 50 42.208 0.197 31.690 180.51
163 100 88.893 0.372 108.660 160.39
164 1 0.634 0.224 0.300 17.12
164 3 1.186 0.286 5.376 223.42
164 5 1.165 0.179 5.945 134.75
164 10 2.555 0.042 0.429 4.02
164 30 9.525 0.023 1.505 0.95
164 50 32.131 0.243 31.182 295.94
164 100 34.523 0.113 15.212 24.50
165 1 0.736 0.135 0.021 4.30
165 3 nan -inf nan nan
165 5 nan -inf nan nan
165 10 11.651 0.098 4.892 123.00
165 30 28.166 0.465 19.971 81.32
165 50 31.620 0.642 27.331 134.21
165 100 32.418 0.474 24.539 57.68
166 1 0.838 0.129 0.032 3.39
166 3 2.821 0.085 0.167 3.45
166 5 4.844 0.116 1.889 36.18
166 10 14.492 0.581 16.355 42.84
166 30 14.594 0.986 48.078 1918.33
166 50 14.614 0.732 35.676 458.14
166 100 13.797 0.257 2.117 2.99
167 1 0.715 0.123 0.022 4.23
167 3 nan -inf nan nan
167 5 nan -inf nan nan
167 10 11.508 0.289 6.515 121.61
167 30 26.981 0.853 53.709 187.00
167 50 27.287 0.901 46.595 279.43
167 100 27.246 0.698 38.020 169.75
168 1 0.756 0.131 0.022 4.19
168 3 2.964 0.048 0.120 6.38
168 5 nan -inf nan nan
168 10 12.509 0.175 4.045 20.87
168 30 12.611 0.241 9.363 260.41
168 50 11.916 0.153 2.779 10.22
168 100 61.769 0.207 41.851 136.30
169 1 0.675 0.134 0.888 41.14
169 3 nan -inf nan nan
169 5 nan -inf nan nan
169 10 nan -inf nan nan
169 30 21.503 1.270 88.397 27999.28
169 50 21.687 1.154 76.007 3122.93
169 100 21.666 0.796 57.234 894.97
170 1 0.409 0.085 0.026 5.10
170 3 2.759 0.043 -0.905 -0.00
170 5 nan -inf nan nan
170 10 10.302 0.081 2.850 46.15
170 30 22.872 0.070 8.107 29.36
170 50 45.949 0.474 75.125 292.85
170 100 48.238 0.301 64.159 60.61
171 1 0.756 0.124 0.022 4.12
171 3 nan -inf nan nan
171 5 3.843 0.077 1.213 79.19
171 10 8.932 0.109 3.403 91.24
171 30 29.965 0.206 15.148 46.23
171 50 60.277 0.553 78.851 63.72
171 100 65.162 0.802 105.208 88.13
172 1 0.756 0.135 0.022 4.29
172 3 3.618 0.046 0.430 7.96
172 5 3.945 0.053 1.297 48.17
172 10 10.710 0.927 52.945 5706.13
172 30 10.854 1.071 47.132 5253.52
172 50 10.854 0.783 42.257 3427.86
172 100 10.751 0.096 16.047 59.83
173 1 0.736 0.121 2.387 81.88
173 3 2.371 0.053 0.665 29.14
173 5 5.069 0.151 2.106 98.04
173 10 13.674 0.732 19.931 115.76
173 30 14.819 1.128 25.752 196.57
173 50 14.982 0.933 22.147 90.74
173 100 15.228 0.401 14.479 65.86
174 1 0.123 0.031 0.029 4.88
174 3 nan -inf nan nan
174 5 3.618 0.060 0.908 51.97
174 10 12.407 0.055 2.974 19.02
174 30 21.748 0.948 55.534 4350.14
174 50 21.952 0.866 46.224 3749.09
174 100 21.830 0.569 41.151 638.79
175 1 0.818 0.163 0.224 14.42
175 3 2.575 0.259 1.029 44.66
175 5 4.272 0.170 5.181 28.36
175 10 9.729 0.194 3.802 17.95
175 30 35.974 0.374 16.170 19.35
175 50 39.796 0.566 54.743 236.84
175 100 43.598 0.124 14.751 3.37
176 1 0.818 0.132 0.022 3.78
176 3 nan -inf nan nan
176 5 nan -inf nan nan
176 10 12.407 0.037 0.565 13.47
176 30 23.485 0.055 8.876 111.22
176 50 33.419 0.062 13.965 159.80
176 100 36.301 0.031 10.272 56.10
177 1 0.838 0.241 0.324 28.55
177 3 2.535 0.287 1.026 43.93
177 5 4.190 0.298 1.669 46.88
177 10 8.483 0.187 3.456 32.27
177 30 34.502 0.583 43.462 113.95
177 50 36.056 0.850 84.061 799.45
177 100 35.340 0.493 67.595 62.36
178 1 0.123 0.032 0.029 5.49
178 3 1.288 0.095 2.138 165.42
178 5 1.288 0.065 4.457 266.43
178 10 10.261 0.059 3.383 53.04
178 30 17.844 0.341 34.593 280.75
178 50 18.110 0.232 41.375 221.25
178 100 16.147 0.126 2.536 4.55
179 1 0.777 0.144 0.036 3.92
179 3 2.371 0.213 0.994 69.06
179 5 4.354 0.220 1.543 37.07
179 10 8.830 0.167 3.788 49.38
179 30 22.504 0.622 20.485 318.00
179 50 24.119 0.376 14.210 60.42
179 100 21.932 0.145 4.251 2.42
180 1 0.572 0.126 0.507 27.76
180 3 2.698 0.042 0.143 6.01
180 5 5.171 0.101 1.809 86.17
180 10 nan -inf nan nan
180 30 18.335 0.219 7.824 2.31
180 50 34.768 0.940 60.371 227.83
180 100 35.095 0.821 53.863 347.34
181 1 0.858 0.270 0.507 47.49
181 3 2.044 0.545 2.851 255.84
181 5 2.105 0.432 2.790 235.90
181 10 2.126 0.263 2.031 145.73
181 30 2.943 0.071 0.333 4.62
181 50 36.138 0.076 8.984 37.61
181 100 73.072 0.059 20.628 41.40
182 1 0.715 0.132 2.296 91.09
182 3 nan -inf nan nan
182 5 nan -inf nan nan
182 10 11.487 0.115 5.511 102.39
182 30 30.455 0.627 27.041 85.89
182 50 32.193 0.744 29.450 125.73
182 100 33.051 0.564 27.608 131.71
183 1 0.123 0.044 0.031 9.39
183 3 nan -inf nan nan
183 5 nan -inf nan nan
183 10 12.427 0.068 0.671 7.48
183 30 17.476 0.071 6.436 38.63
183 50 34.523 0.166 21.591 79.10
183 100 34.543 0.041 7.213 1.19
184 1 nan -inf nan nan
184 3 nan -inf nan nan
184 5 nan -inf nan nan
184 10 nan -inf nan nan
184 30 33.685 0.172 35.852 333.64
184 50 35.238 0.353 33.827 213.95
184 100 35.954 0.298 31.747 83.70
185 1 0.715 0.121 0.023 4.24
185 3 nan -inf nan nan
185 5 nan -inf nan nan
185 10 nan -inf nan nan
185 30 31.457 0.145 11.910 44.88
185 50 37.548 0.175 24.564 102.65
185 100 67.962 0.168 20.565 23.01
186 1 0.818 0.112 0.023 3.33
186 3 2.862 0.090 0.149 6.58
186 5 3.597 0.092 1.605 102.87
186 10 9.770 0.136 5.343 60.12
186 30 20.399 0.098 4.022 2.50
186 50 42.351 0.819 89.351 222.97
186 100 45.192 0.612 68.096 278.75
187 1 0.777 0.164 0.228 16.83
187 3 2.718 0.170 1.394 24.69
187 5 2.739 0.167 1.672 83.15
187 10 2.473 0.076 0.469 5.45
187 30 17.292 0.445 18.624 453.60
187 50 17.129 0.240 8.423 19.24
187 100 33.276 0.057 4.949 0.55
188 1 0.654 0.135 0.106 5.80
188 3 nan -inf nan nan
188 5 7.767 0.057 0.255 6.32
188 10 7.195 0.087 3.127 32.64
188 30 13.429 0.079 2.486 1.72
188 50 28.125 0.126 26.001 15.22
188 100 56.823 0.214 28.060 97.16
189 1 0.695 0.125 0.023 4.60
189 3 3.005 0.071 1.043 33.93
189 5 5.478 0.108 1.883 27.28
189 10 8.605 0.178 4.037 94.44
189 30 15.963 0.156 6.565 20.98
189 50 15.984 0.076 3.635 3.81
189 100 49.199 0.122 19.838 79.07
190 1 0.143 0.030 0.030 3.62
190 3 2.923 0.223 1.205 25.65
190 5 2.902 0.081 0.557 0.69
190 10 9.157 1.342 39.357 6227.38
190 30 9.300 1.140 35.548 2719.54
190 50 9.321 0.762 38.336 1507.88
190 100 12.632 0.080 1.425 2.40
191 1 0.838 0.179 0.346 30.48
191 3 2.862 0.289 2.191 49.99
191 5 3.046 0.291 1.872 96.56
191 10 3.148 0.107 1.029 13.69
191 30 19.254 0.542 26.833 1629.20
191 50 19.520 0.497 26.063 2158.46
191 100 19.357 0.302 22.476 343.41
192 1 0.123 0.040 0.032 9.34
192 3 nan -inf nan nan
192 5 nan -inf nan nan
192 10 13.470 0.054 5.040 57.05
192 30 14.758 0.273 18.186 702.05
192 50 14.287 0.169 11.612 33.19
192 100 41.248 0.143 38.396 107.97
193 1 0.654 0.137 0.022 5.04
193 3 2.535 0.053 0.131 6.48
193 5 8.115 0.126 9.104 110.21
193 10 8.115 0.887 67.769 19901.97
193 30 8.176 0.747 83.231 21597.79
193 50 8.155 0.443 68.842 6087.16
193 100 12.100 0.136 1.280 7.68
194 1 nan -inf nan nan
194 3 nan -inf nan nan
194 5 nan -inf nan nan
194 10 11.589 0.040 4.652 106.69
194 30 33.133 0.330 40.702 206.51
194 50 34.073 0.495 42.237 927.39
194 100 33.358 0.226 15.903 9.65
195 1 0.675 0.085 0.022 2.97
195 3 2.698 0.057 -1.966 -0.08
195 5 nan -inf nan nan
195 10 8.442 0.057 3.741 150.31
195 30 18.948 0.078 5.797 0.98
195 50 41.697 1.156 1022.563 11855.28
195 100 41.881 1.118 711.851 9426.97
196 1 0.777 0.131 0.022 4.05
196 3 nan -inf nan nan
196 5 nan -inf nan nan
196 10 7.828 0.050 3.981 186.28
196 30 19.316 0.200 16.093 287.26
196 50 18.478 0.155 12.247 117.93
196 100 35.320 0.032 5.195 1.88
197 1 0.143 0.021 0.034 3.68
197 3 2.575 0.110 0.726 29.33
197 5 4.681 0.133 1.475 37.31
197 10 11.385 0.221 3.572 21.11
197 30 24.671 0.297 12.448 12.64
197 50 44.641 0.631 35.582 92.67
197 100 48.422 0.555 33.725 21.22
198 1 0.818 0.108 0.031 4.08
198 3 2.024 0.232 0.978 91.91
198 5 5.253 0.223 2.266 19.85
198 10 7.379 0.442 22.569 125.77
198 30 14.614 0.880 104.328 1095.55
198 50 14.635 0.734 103.963 2728.32
198 100 14.226 0.329 41.467 328.79
199 1 0.736 0.110 2.132 64.27
199 3 2.535 0.105 0.895 52.98
199 5 4.068 0.131 1.895 59.47
199 10 7.399 0.233 3.626 53.52
199 30 27.737 0.695 24.694 184.61
199 50 29.801 0.602 18.777 49.66
199 100 30.639 0.370 15.559 30.69
200 1 0.654 0.139 0.022 5.18
200 3 nan -inf nan nan
200 5 nan -inf nan nan
200 10 9.729 0.144 12.439 809.44
200 30 10.383 0.130 5.442 41.04
200 50 9.954 0.083 1.940 8.37
200 100 60.645 0.053 18.189 27.19
201 1 0.736 0.131 0.022 4.35
201 3 nan -inf nan nan
201 5 4.701 0.063 0.263 10.06
201 10 10.976 0.053 17.567 78.52
201 30 30.823 0.152 29.578 202.11
201 50 35.075 0.306 49.012 1445.07
201 100 34.441 0.215 30.832 83.45
202 1 0.818 0.112 0.023 3.53
202 3 2.330 0.118 1.185 99.63
202 5 5.335 0.106 0.358 3.38
202 10 6.990 0.123 3.012 67.22
202 30 22.075 0.146 9.526 9.03
202 50 46.255 0.935 267.220 1402.69
202 100 47.277 0.892 153.835 2642.40
203 1 0.675 0.073 0.023 2.70
203 3 2.289 0.076 0.632 38.80
203 5 4.517 0.102 1.464 58.70
203 10 8.339 0.103 3.193 59.21
203 30 23.404 0.519 31.929 652.12
203 50 24.242 0.489 34.304 413.07
203 100 23.976 0.303 19.445 63.20
204 1 nan -inf nan nan
204 3 nan -inf nan nan
204 5 nan -inf nan nan
204 10 nan -inf nan nan
204 30 28.084 0.077 9.885 144.76
204 50 51.835 0.193 38.877 159.73
204 100 58.744 0.317 67.286 366.42
205 1 0.818 0.085 0.022 2.40
205 3 2.780 0.051 -1.228 -0.00
205 5 nan -inf nan nan
205 10 9.055 0.074 -1.093 -0.00
205 30 24.712 0.066 8.358 23.62
205 50 50.282 0.544 90.263 925.32
205 100 52.285 0.659 106.515 1213.48
206 1 0.756 0.135 0.022 4.29
206 3 nan -inf nan nan
206 5 nan -inf nan nan
206 10 10.240 0.049 2.463 25.98
206 30 39.592 0.171 14.315 25.23
206 50 40.389 0.318 25.213 77.27
206 100 44.865 0.117 16.149 5.91
207 1 0.777 0.132 2.571 92.75
207 3 2.637 0.049 -1.778 -0.06
207 5 nan -inf nan nan
207 10 9.770 0.051 2.686 71.68
