star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
605 4.395 0.311 3.57e-01 0.043 6.418 0.156 1.93e+00 0.033 18.335 0.544 1.15e+01 0.007 18.314 0.245 6.59e+00 0.053 36.281 0.090 6.09e+00 0.182 
606 0.552 0.110 1.13e-01 0.129 6.847 0.125 3.16e-01 0.043 28.146 0.628 1.38e+01 0.031 30.067 0.527 1.84e+01 0.010 28.779 0.382 1.26e+01 0.019 
607 0.572 0.104 1.28e-01 0.114 8.421 0.174 3.10e-01 0.029 11.201 0.056 1.62e+00 0.187 42.964 0.523 1.70e+01 0.035 24.283 0.057 4.09e+00 0.416 
608 nan -inf nan nan 8.319 0.363 2.75e+00 0.022 12.162 0.122 2.88e+00 0.134 39.122 0.805 2.55e+01 0.015 40.246 0.397 2.02e+01 0.018 
609 2.698 1.362 7.25e+00 0.002 2.678 1.027 6.42e+00 0.016 2.616 0.564 5.23e-01 0.059 2.575 0.329 3.75e-01 0.238 2.575 0.184 3.48e-01 0.285 
610 nan -inf nan nan 7.685 0.332 2.07e+00 0.030 nan -inf nan nan 43.332 0.775 3.11e+01 0.011 46.398 0.358 2.36e+01 0.035 
611 0.552 0.108 1.13e-01 0.128 nan -inf nan nan 19.929 0.516 9.46e+00 0.004 17.885 0.050 4.57e+00 0.587 65.469 0.343 2.43e+01 0.037 
612 4.395 0.228 2.04e-01 0.026 nan -inf nan nan 13.552 1.233 3.17e+01 0.003 13.552 1.178 3.36e+01 0.004 13.552 1.090 2.98e+01 0.005 
613 4.333 0.234 2.69e-01 0.032 7.951 0.094 2.04e+00 0.279 16.004 0.340 7.67e+00 0.172 32.561 1.152 4.19e+01 0.018 32.806 1.067 4.86e+01 0.023 
614 4.231 0.373 1.26e+00 0.034 nan -inf nan nan 17.905 0.660 1.44e+01 0.005 18.191 0.253 7.27e+00 0.076 16.515 0.218 3.14e+00 0.108 
615 nan -inf nan nan 6.112 0.127 1.85e+00 0.043 17.537 0.935 2.15e+01 0.005 17.537 0.761 1.94e+01 0.008 16.454 0.532 5.15e+00 0.065 
616 3.945 0.352 1.16e+00 0.030 8.462 0.334 2.27e+00 0.033 nan -inf nan nan 13.449 0.056 2.78e+00 0.590 27.287 0.123 5.45e+00 0.207 
617 nan -inf nan nan 7.972 0.103 5.68e-01 0.079 13.776 0.444 7.72e+00 0.023 13.736 0.383 5.31e+00 0.041 13.061 0.351 2.23e+00 0.074 
618 nan -inf nan nan nan -inf nan nan nan -inf nan nan 36.730 1.330 6.57e+01 0.002 36.996 0.986 6.19e+01 0.007 
619 3.822 0.090 7.92e-01 0.199 7.133 0.178 5.76e-01 0.068 14.165 0.215 3.78e+00 0.025 13.613 0.170 2.86e+00 0.018 13.184 0.170 2.12e+00 0.024 
620 nan -inf nan nan 5.580 0.323 2.17e+00 0.021 4.558 0.196 6.84e-01 0.110 22.872 0.115 4.76e+00 0.073 32.785 0.024 5.40e+00 0.501 
621 nan -inf nan nan 6.009 0.130 5.89e-01 0.066 18.171 0.084 1.68e+00 0.154 31.048 0.645 1.59e+01 0.026 31.089 0.537 1.67e+01 0.022 
622 3.924 0.175 6.93e-01 0.057 7.869 1.017 8.35e+00 0.004 7.910 0.453 4.74e+00 0.021 7.706 0.384 2.83e+00 0.042 7.604 0.332 1.53e+00 0.073 
623 nan -inf nan nan 8.646 0.337 3.00e+00 0.007 nan -inf nan nan 31.028 1.159 5.35e+01 0.003 31.334 0.881 3.51e+01 0.005 
624 4.149 0.243 9.31e-01 0.034 nan -inf nan nan 10.915 1.186 2.15e+01 0.001 10.874 1.063 2.03e+01 0.005 10.772 0.822 1.47e+01 0.024 
625 2.616 0.350 1.43e+00 0.018 2.514 0.165 9.23e-01 0.051 2.391 0.135 1.38e+00 0.075 2.371 0.103 3.81e-01 0.353 2.351 0.470 3.35e-01 0.075 
626 nan -inf nan nan nan -inf nan nan 13.879 1.643 8.79e+01 0.002 13.879 1.647 1.10e+02 0.002 13.879 1.641 1.16e+02 0.002 
627 0.572 0.122 1.23e-01 0.107 4.701 0.042 6.61e-01 0.186 15.125 0.089 3.47e+00 0.087 34.727 0.567 1.50e+01 0.034 34.686 0.439 1.38e+01 0.035 
628 1.553 0.591 1.04e+00 0.010 1.533 0.548 9.01e-01 0.010 1.533 0.456 5.66e-01 0.018 1.533 0.421 4.21e-01 0.019 1.533 0.403 3.70e-01 0.012 
629 0.593 0.092 3.49e-01 0.126 0.572 0.130 5.72e-01 0.113 nan -inf nan nan 30.844 0.542 1.81e+01 0.028 30.782 0.421 1.29e+01 0.025 
630 3.597 0.203 2.03e-01 0.031 6.950 0.093 4.14e-01 0.058 nan -inf nan nan 42.842 1.525 1.21e+02 0.002 42.903 1.493 1.85e+02 0.003 
631 4.558 0.347 5.76e-01 0.050 7.726 0.585 3.69e+00 0.016 7.706 0.136 1.94e+00 0.084 6.663 0.132 1.36e+00 0.084 6.684 0.139 1.30e+00 0.046 
632 nan -inf nan nan 7.604 0.307 2.16e+00 0.026 nan -inf nan nan 37.139 0.727 2.47e+01 0.016 40.614 0.318 1.66e+01 0.029 
633 0.572 0.096 1.24e-01 0.131 6.786 0.075 4.39e-01 0.079 18.825 1.019 1.98e+01 0.004 19.152 0.738 1.78e+01 0.005 18.723 0.579 1.12e+01 0.027 
634 nan -inf nan nan nan -inf nan nan 22.422 0.751 1.40e+01 0.026 22.504 0.451 1.31e+01 0.029 21.850 0.281 5.13e+00 0.050 
635 nan -inf nan nan nan -inf nan nan 11.712 1.108 2.56e+01 0.007 11.651 0.955 2.52e+01 0.014 11.548 0.774 1.73e+01 0.023 
636 4.129 0.403 1.36e+00 0.027 7.869 0.362 2.62e+00 0.022 12.530 0.078 3.00e+00 0.233 39.980 0.683 2.43e+01 0.017 41.227 0.243 1.48e+01 0.073 
637 0.572 0.108 1.22e-01 0.118 6.234 0.066 3.16e-01 0.068 16.720 0.069 3.89e+00 0.479 30.701 0.758 2.21e+01 0.012 30.680 0.610 2.23e+01 0.009 
638 4.374 0.373 1.34e+00 0.063 8.462 0.823 6.07e+00 0.034 8.503 0.757 1.29e+01 0.028 8.483 0.741 1.78e+01 0.031 8.483 0.712 2.40e+01 0.030 
639 0.593 0.085 1.47e-01 0.108 0.572 0.156 5.72e-01 0.115 26.020 0.993 2.54e+01 0.017 26.940 1.013 3.94e+01 0.009 26.020 0.895 4.55e+01 0.024 
640 0.634 0.100 1.66e-01 0.083 0.613 0.221 1.10e-01 0.080 11.937 0.606 1.01e+01 0.031 11.937 0.569 1.13e+01 0.032 11.937 0.461 2.54e+00 0.034 
641 1.840 0.085 4.80e-01 0.244 8.012 0.671 5.06e+00 0.009 15.882 0.760 1.44e+01 0.004 15.861 0.641 1.12e+01 0.009 15.698 0.501 7.79e+00 0.018 
642 1.799 0.066 3.85e-01 0.148 8.094 0.293 2.18e+00 0.023 25.979 1.308 4.45e+01 0.002 26.245 1.103 4.49e+01 0.002 25.999 0.842 4.23e+01 0.019 
643 0.572 0.093 1.24e-01 0.126 nan -inf nan nan nan -inf nan nan 29.065 0.715 2.43e+01 0.014 29.045 0.563 1.90e+01 0.021 
644 nan -inf nan nan 9.177 0.324 2.20e+00 0.035 17.394 0.595 1.32e+01 0.006 16.802 0.270 5.93e+00 0.086 34.216 0.137 5.50e+00 0.284 
645 0.552 0.129 1.06e-01 0.122 8.012 0.527 3.62e+00 0.026 9.014 0.113 3.96e+00 0.095 8.932 0.096 2.12e+00 0.061 8.891 0.097 3.84e+00 0.093 
646 3.311 0.289 2.89e-01 0.040 7.133 0.105 8.74e-01 0.077 12.979 0.212 3.54e+00 0.038 12.162 0.137 2.01e+00 0.306 39.163 0.276 1.49e+01 0.049 
647 4.231 0.463 1.43e+00 0.030 8.360 0.378 2.07e+00 0.041 20.378 0.684 1.20e+01 0.015 20.583 0.493 1.13e+01 0.017 20.481 0.442 9.58e+00 0.015 
648 3.924 0.318 9.55e-01 0.038 8.094 0.611 4.33e+00 0.019 8.483 0.395 3.84e+00 0.017 8.115 0.352 2.26e+00 0.029 8.135 0.343 1.63e+00 0.027 
649 3.924 0.165 2.25e-01 0.031 7.665 0.859 6.07e+00 0.017 7.726 0.537 7.20e+00 0.032 7.706 0.506 5.78e+00 0.035 7.747 0.531 5.91e+00 0.022 
650 4.108 0.363 1.31e+00 0.029 nan -inf nan nan 25.999 0.698 1.42e+01 0.016 27.737 0.398 1.48e+01 0.007 27.246 0.219 8.66e+00 0.047 
651 1.942 0.051 2.79e-01 0.124 8.237 0.302 2.94e+00 0.048 16.107 1.537 6.34e+01 0.002 16.107 1.503 8.43e+01 0.003 16.107 1.460 9.90e+01 0.003 
652 nan -inf nan nan 7.726 0.324 2.87e+00 0.050 16.536 1.432 5.07e+01 0.003 16.618 1.410 5.63e+01 0.003 16.618 1.369 5.42e+01 0.010 
653 4.333 0.257 2.53e-01 0.040 7.481 0.279 1.69e+00 0.037 13.225 0.060 2.90e+00 0.275 26.143 0.181 8.10e+00 0.046 23.220 0.087 4.05e+00 0.181 
654 4.108 0.659 2.37e+00 0.016 4.599 0.119 1.51e+00 0.265 8.258 0.188 1.60e+00 0.195 8.155 0.173 1.44e+00 0.192 8.155 0.167 1.36e+00 0.108 
655 0.572 0.097 1.35e-01 0.108 0.552 0.159 5.52e-01 0.113 22.095 0.434 7.21e+00 0.042 22.116 0.340 8.17e+00 0.030 20.706 0.320 5.30e+00 0.018 
656 1.921 0.039 4.06e-01 0.200 6.888 0.406 2.33e+00 0.024 nan -inf nan nan 36.669 1.026 4.03e+01 0.009 36.771 0.931 4.41e+01 0.007 
657 4.068 0.386 1.39e+00 0.025 nan -inf nan nan nan -inf nan nan 37.773 0.963 3.75e+01 0.004 39.592 0.502 2.84e+01 0.010 
658 0.531 0.129 1.00e-01 0.136 nan -inf nan nan 15.289 0.489 9.53e+00 0.005 15.289 0.376 7.55e+00 0.022 14.594 0.340 5.95e+00 0.030 
659 0.552 0.101 1.15e-01 0.131 8.278 0.216 3.53e-01 0.030 19.602 0.248 4.36e+00 0.042 19.561 0.170 4.19e+00 0.026 16.495 0.141 2.65e+00 0.059 
660 4.129 0.257 2.18e-01 0.030 8.380 0.222 1.21e+00 0.049 nan -inf nan nan 41.002 0.979 4.03e+01 0.005 41.309 0.760 4.02e+01 0.010 
661 4.211 0.171 1.99e-01 0.032 nan -inf nan nan 27.062 0.678 1.50e+01 0.034 28.309 0.537 1.77e+01 0.017 28.309 0.348 1.30e+01 0.037 
662 nan -inf nan nan nan -inf nan nan 24.446 0.560 9.88e+00 0.021 43.680 0.432 5.16e+00 0.041 46.337 0.077 8.87e+00 0.239 
663 2.432 1.154 3.73e+00 0.051 2.432 1.220 6.85e+00 0.047 2.432 1.099 1.56e+01 0.048 2.432 0.963 2.00e+01 0.055 2.432 0.724 3.75e-01 0.081 
664 2.637 0.061 2.21e-01 0.077 8.850 0.308 5.99e-01 0.038 27.124 1.354 5.03e+01 0.003 27.573 1.345 6.82e+01 0.002 27.676 1.286 5.72e+01 0.002 
665 0.531 0.125 9.59e-02 0.127 8.237 0.345 2.98e+00 0.024 15.923 1.352 3.93e+01 0.003 15.923 1.282 4.47e+01 0.004 15.882 1.124 3.73e+01 0.012 
666 nan -inf nan nan nan -inf nan nan 28.043 1.504 7.30e+01 0.006 28.043 1.499 9.48e+01 0.002 28.043 1.414 1.31e+02 0.004 
667 0.552 0.080 1.22e-01 0.138 4.088 0.036 2.74e-01 0.152 24.160 0.348 6.54e+00 0.034 nan -inf nan nan 50.650 0.905 5.68e+01 0.004 
668 0.593 0.113 1.40e-01 0.095 0.552 0.242 5.52e-01 0.127 17.762 0.215 4.07e+00 0.034 17.762 0.102 4.63e+00 0.072 51.304 0.377 2.79e+00 0.052 
669 0.552 0.083 1.25e-01 0.131 0.552 0.112 5.52e-01 0.141 17.558 0.098 1.84e+00 0.085 19.009 0.063 2.37e+00 0.154 30.578 0.069 3.94e+00 0.190 
670 nan -inf nan nan nan -inf nan nan 10.874 1.410 4.70e+01 0.005 10.874 1.407 6.93e+01 0.006 10.874 1.384 9.20e+01 0.006 
671 2.657 0.504 1.50e+00 0.014 2.514 0.228 4.33e-01 0.178 17.640 1.535 6.70e+01 0.003 17.619 1.427 7.35e+01 0.007 17.292 1.243 8.65e+01 0.008 
672 4.149 0.346 1.34e+00 0.021 nan -inf nan nan 15.330 1.374 4.74e+01 0.004 15.207 1.048 4.56e+01 0.018 14.921 0.807 4.04e+01 0.053 
673 2.126 0.558 1.57e+00 0.023 2.003 0.374 3.93e-01 0.070 1.819 0.264 2.60e-01 0.101 3.986 0.152 5.11e-01 0.107 3.945 0.128 5.06e-01 0.113 
674 0.613 0.080 1.58e-01 0.097 0.613 0.100 1.35e-01 0.043 18.069 0.074 5.97e-01 0.078 18.069 0.032 1.31e+00 0.329 0.593 0.315 8.98e-02 0.033 
675 nan -inf nan nan nan -inf nan nan 22.034 0.243 9.63e+00 0.056 41.636 0.994 4.11e+01 0.011 41.881 0.821 4.63e+01 0.016 
676 2.167 0.937 2.61e+00 0.005 2.146 0.789 1.98e+00 0.007 2.126 0.526 5.93e-01 0.032 2.126 0.449 3.99e-01 0.037 2.105 0.388 3.53e-01 0.028 
677 nan -inf nan nan 6.377 0.106 1.85e+00 0.272 13.081 0.992 1.83e+01 0.006 13.041 0.899 1.52e+01 0.009 13.020 0.830 1.29e+01 0.012 
678 3.209 0.651 1.84e+00 0.010 5.090 0.223 1.51e+00 0.033 2.800 0.147 5.70e-01 0.077 2.698 0.211 4.65e-01 0.065 2.657 0.237 4.35e-01 0.037 
679 0.572 0.110 1.23e-01 0.120 nan -inf nan nan 12.243 0.777 1.58e+01 0.020 12.223 0.676 1.68e+01 0.026 11.671 0.553 6.61e+00 0.033 
680 0.572 0.097 1.35e-01 0.105 0.552 0.150 5.52e-01 0.119 6.173 0.038 5.10e-01 0.113 12.509 0.107 9.89e-01 0.034 9.750 0.165 1.06e+00 0.076 
681 0.531 0.090 1.04e-01 0.163 9.484 0.280 5.59e-01 0.043 25.632 0.283 8.79e+00 0.034 46.214 1.074 5.03e+01 0.008 47.379 0.784 4.99e+01 0.007 
682 0.572 0.100 1.26e-01 0.120 0.552 0.190 5.52e-01 0.113 14.819 0.596 1.05e+01 0.020 14.819 0.510 8.87e+00 0.020 14.410 0.444 4.61e+00 0.022 
683 0.572 0.140 1.12e-01 0.112 8.217 0.155 2.04e+00 0.059 18.335 1.518 6.39e+01 0.001 18.335 1.449 6.84e+01 0.002 18.314 1.332 6.13e+01 0.003 
684 4.027 0.395 1.40e+00 0.026 8.237 0.364 2.62e+00 0.027 nan -inf nan nan 33.153 0.852 2.88e+01 0.006 29.004 0.152 8.43e+00 0.211 
685 4.211 0.406 1.40e+00 0.029 nan -inf nan nan 19.029 0.625 1.45e+01 0.005 19.050 0.317 9.09e+00 0.042 14.901 0.203 2.48e+00 0.151 
686 4.027 0.323 8.82e-01 0.040 nan -inf nan nan 22.300 0.110 6.72e+00 0.596 45.417 1.631 1.76e+02 0.004 45.887 1.631 2.97e+02 0.002 
687 3.965 0.441 1.58e+00 0.015 nan -inf nan nan 12.489 1.160 2.69e+01 0.007 12.427 1.071 2.95e+01 0.014 12.387 0.984 2.64e+01 0.017 
688 0.572 0.116 1.33e-01 0.096 0.572 0.138 5.72e-01 0.105 0.572 0.286 5.72e-01 0.080 30.619 0.333 1.87e+01 0.083 30.619 0.312 2.36e+01 0.092 
689 0.552 0.076 1.21e-01 0.145 7.215 0.081 3.61e-01 0.071 14.921 0.749 1.40e+01 0.014 14.921 0.711 1.55e+01 0.014 14.921 0.635 1.28e+01 0.018 
690 3.986 0.195 2.69e-01 0.036 8.442 0.667 5.11e+00 0.014 9.566 0.422 5.15e+00 0.008 8.953 0.368 2.94e+00 0.037 8.953 0.320 1.88e+00 0.033 
691 nan -inf nan nan nan -inf nan nan 11.099 0.403 5.99e+00 0.021 10.159 0.268 2.37e+00 0.132 28.718 0.030 4.34e+00 1.654 
692 3.884 0.223 2.66e-01 0.035 nan -inf nan nan 15.902 0.552 7.47e+00 0.013 15.902 0.371 6.30e+00 0.036 14.308 0.335 4.30e+00 0.031 
693 nan -inf nan nan nan -inf nan nan 15.064 0.391 7.95e+00 0.035 14.144 0.229 3.50e+00 0.100 27.594 0.129 4.36e+00 0.174 
694 3.965 0.384 1.40e+00 0.025 nan -inf nan nan nan -inf nan nan 37.262 1.031 3.92e+01 0.004 37.487 0.647 3.19e+01 0.009 
695 3.557 0.125 2.37e-01 0.060 7.195 0.148 4.43e-01 0.045 19.234 0.533 9.20e+00 0.037 19.234 0.548 1.14e+01 0.025 19.213 0.520 9.76e+00 0.024 
696 0.572 0.091 1.27e-01 0.123 8.033 0.151 5.44e-01 0.047 21.278 1.388 4.40e+01 0.001 21.605 1.103 4.08e+01 0.003 21.094 0.838 2.95e+01 0.016 
697 4.027 0.234 2.57e-01 0.038 8.891 0.255 1.14e+00 0.041 24.364 1.294 4.20e+01 0.004 24.487 1.132 4.80e+01 0.005 24.283 0.905 4.71e+01 0.017 
698 4.579 0.218 2.16e-01 0.036 nan -inf nan nan 16.045 0.236 6.52e+00 0.025 30.803 0.158 7.70e+00 0.092 28.616 0.046 5.07e+00 0.528 
699 nan -inf nan nan nan -inf nan nan 23.874 0.379 5.94e+00 0.028 38.999 0.221 1.32e+01 0.057 32.111 0.031 6.41e+00 1.033 
700 3.802 0.352 1.20e+00 0.023 nan -inf nan nan nan -inf nan nan 34.278 0.838 2.94e+01 0.009 34.891 0.618 2.84e+01 0.009 
701 nan -inf nan nan 8.687 0.323 2.45e+00 0.019 nan -inf nan nan 31.682 0.874 3.61e+01 0.001 31.028 0.487 1.89e+01 0.050 
702 3.168 0.120 2.39e-01 0.070 3.148 0.037 4.05e-01 0.099 10.956 0.026 1.15e+00 0.474 31.171 0.391 1.20e+01 0.038 31.191 0.358 1.18e+01 0.018 
703 nan -inf nan nan nan -inf nan nan 25.059 0.556 1.38e+01 0.012 38.897 0.810 2.78e+01 0.008 41.595 0.199 1.61e+01 0.083 
704 nan -inf nan nan nan -inf nan nan 28.043 1.313 4.62e+01 0.008 28.125 1.359 7.28e+01 0.003 28.125 1.255 1.11e+02 0.007 
705 3.843 0.351 1.24e+00 0.023 nan -inf nan nan nan -inf nan nan 32.642 0.722 2.07e+01 0.008 50.609 0.206 1.63e+01 0.034 
706 3.557 1.556 1.08e+01 0.001 3.577 1.262 9.85e+00 0.003 3.516 0.900 5.59e+00 0.019 3.495 0.618 8.30e-01 0.060 3.454 0.364 3.45e+00 0.134 
707 nan -inf nan nan nan -inf nan nan 10.547 1.279 2.60e+01 0.006 10.547 1.254 2.67e+01 0.005 10.506 1.196 2.43e+01 0.005 
708 0.531 0.181 9.45e-02 0.143 6.152 0.873 5.85e+00 0.015 6.071 0.421 2.37e+00 0.047 5.968 0.350 1.17e+00 0.050 5.968 0.249 8.81e-01 0.097 
709 4.374 0.333 1.05e+00 0.041 7.031 0.162 2.34e+00 0.040 21.012 0.272 8.52e+00 0.021 nan -inf nan nan 73.502 0.316 2.46e+01 0.027 
710 nan -inf nan nan nan -inf nan nan 20.869 0.895 1.91e+01 0.013 21.605 0.647 1.69e+01 0.011 21.728 0.548 1.39e+01 0.015 
711 nan -inf nan nan 8.953 0.339 1.96e+00 0.041 19.724 0.664 1.29e+01 0.013 19.745 0.290 7.98e+00 0.069 39.899 0.258 7.26e+00 0.069 
712 3.924 0.141 2.61e-01 0.067 nan -inf nan nan nan -inf nan nan 35.790 1.141 4.69e+01 0.004 36.178 0.677 3.11e+01 0.015 
713 nan -inf nan nan nan -inf nan nan 25.059 1.238 3.94e+01 0.003 25.652 1.023 3.96e+01 0.003 25.059 0.674 2.75e+01 0.034 
714 0.552 0.144 1.07e-01 0.113 7.256 0.466 3.20e+00 0.020 14.124 0.922 1.93e+01 0.012 14.124 0.910 2.32e+01 0.013 14.124 0.862 2.91e+01 0.016 
715 3.700 0.263 4.49e-01 0.044 8.135 0.307 6.06e-01 0.034 20.889 0.827 1.59e+01 0.006 21.891 0.505 1.44e+01 0.005 21.380 0.385 1.02e+01 0.019 
716 0.531 0.101 1.05e-01 0.143 4.844 0.040 5.31e-01 0.269 12.816 0.102 3.26e+00 0.121 37.630 0.342 1.32e+01 0.035 22.893 0.031 3.65e+00 0.663 
717 nan -inf nan nan nan -inf nan nan 22.831 1.269 3.79e+01 0.020 22.933 1.247 5.10e+01 0.015 22.872 1.180 4.69e+01 0.011 
718 4.108 0.211 3.78e-01 0.043 7.726 0.449 3.44e+00 0.016 15.412 0.988 2.05e+01 0.007 15.432 0.920 2.14e+01 0.008 15.391 0.819 1.72e+01 0.011 
719 2.412 1.565 9.77e+00 0.001 2.412 1.473 8.46e+00 0.002 2.391 1.204 5.48e+00 0.009 2.391 1.014 4.57e+00 0.014 2.391 0.814 3.40e+00 0.016 
720 0.593 0.111 1.47e-01 0.092 0.572 0.152 5.72e-01 0.106 10.220 0.032 9.02e-01 0.185 nan -inf nan nan 53.777 1.039 7.68e+01 0.008 
721 0.552 0.083 1.18e-01 0.154 3.270 0.043 2.57e-01 0.070 28.084 0.259 5.20e+00 0.047 42.576 0.852 3.03e+01 0.025 40.941 0.719 4.12e+01 0.020 
722 0.593 0.128 1.47e-01 0.073 0.572 0.398 8.70e-02 0.136 13.143 0.544 8.80e+00 0.005 12.570 0.431 6.06e+00 0.023 12.489 0.343 7.44e+00 0.061 
723 4.333 0.261 3.36e-01 0.040 nan -inf nan nan 17.006 0.953 2.12e+01 0.002 16.924 0.683 1.55e+01 0.015 16.209 0.443 6.01e+00 0.038 
724 0.593 0.087 1.46e-01 0.111 0.552 0.156 5.52e-01 0.133 13.756 0.503 8.37e+00 0.026 13.736 0.394 5.85e+00 0.026 13.736 0.319 2.61e+00 0.040 
725 4.354 0.291 3.52e-01 0.044 6.316 0.141 1.68e+00 0.035 17.701 0.950 2.29e+01 0.007 17.619 0.642 1.92e+01 0.027 16.413 0.415 4.09e+00 0.062 
726 0.552 0.095 1.15e-01 0.134 6.071 0.097 2.82e-01 0.044 12.427 0.025 1.57e+00 0.541 46.112 0.924 3.74e+01 0.019 46.664 0.976 6.80e+01 0.010 
727 3.965 0.127 2.38e-01 0.054 nan -inf nan nan nan -inf nan nan 41.759 1.112 5.28e+01 0.005 43.005 0.716 4.43e+01 0.011 
728 3.720 0.311 2.95e-01 0.039 7.951 0.800 5.72e+00 0.021 7.910 0.642 6.95e+00 0.011 7.869 0.634 6.49e+00 0.009 7.869 0.608 5.75e+00 0.009 
729 0.572 0.102 1.24e-01 0.114 nan -inf nan nan 27.716 1.271 4.34e+01 0.003 28.309 1.020 3.86e+01 0.003 28.738 0.814 2.87e+01 0.006 
730 0.593 0.095 1.56e-01 0.091 0.593 0.126 1.26e-01 0.047 14.369 0.106 7.67e-01 0.043 42.658 0.378 2.26e+00 0.042 42.658 0.299 1.12e+01 0.029 
731 3.945 0.249 2.66e-01 0.037 nan -inf nan nan 25.815 0.844 2.09e+01 0.014 26.858 0.721 2.40e+01 0.009 26.531 0.462 1.44e+01 0.044 
732 0.572 0.105 1.17e-01 0.125 7.481 0.347 2.51e+00 0.031 14.594 1.076 2.50e+01 0.008 14.533 1.018 2.65e+01 0.008 14.390 0.940 2.80e+01 0.013 
733 0.552 0.091 1.10e-01 0.157 nan -inf nan nan 12.100 0.259 4.67e+00 0.037 12.039 0.169 2.99e+00 0.133 10.997 0.206 2.03e+00 0.070 
734 nan -inf nan nan nan -inf nan nan 25.815 1.220 3.91e+01 0.003 27.144 0.903 3.18e+01 0.002 27.430 0.751 2.67e+01 0.003 
735 nan -inf nan nan 8.033 0.109 1.07e+00 0.078 23.383 0.932 2.16e+01 0.006 23.853 0.636 2.10e+01 0.012 22.341 0.307 5.21e+00 0.144 
736 3.720 0.183 2.02e-01 0.030 nan -inf nan nan 12.039 0.511 8.18e+00 0.009 11.242 0.359 4.05e+00 0.037 11.201 0.308 2.11e+00 0.058 
737 3.454 0.539 2.51e-01 0.039 3.454 0.339 4.89e-01 0.032 3.434 0.295 4.38e-01 0.038 3.434 0.285 4.28e-01 0.027 3.434 0.277 4.23e-01 0.016 
738 3.945 0.361 1.31e+00 0.023 nan -inf nan nan 21.687 0.802 1.68e+01 0.014 21.932 0.041 5.87e+00 3.446 43.966 0.970 6.40e+01 0.011 
739 3.332 0.153 9.19e-01 0.062 5.457 0.117 8.84e-01 0.049 nan -inf nan nan 42.126 1.225 6.16e+01 0.004 42.270 1.033 6.90e+01 0.004 
740 nan -inf nan nan 7.828 0.092 2.09e+00 0.284 17.108 1.325 4.09e+01 0.001 17.292 1.199 3.37e+01 0.001 17.108 1.021 2.44e+01 0.007 
741 3.434 0.107 1.99e-01 0.053 3.393 0.027 3.78e-01 0.377 nan -inf nan nan 35.790 0.460 1.43e+01 0.019 68.105 0.319 2.12e+01 0.026 
742 nan -inf nan nan 9.382 1.485 2.20e+01 0.003 9.525 1.224 3.15e+01 0.006 9.443 1.105 3.03e+01 0.012 9.382 0.895 2.19e+01 0.020 
743 0.613 0.093 1.60e-01 0.088 0.593 0.170 1.14e-01 0.055 20.889 0.297 1.31e+00 0.034 20.889 0.130 2.20e+00 0.037 14.921 0.131 1.85e+00 0.054 
744 3.066 1.393 7.88e+00 0.003 3.066 1.341 7.01e+00 0.002 3.046 1.264 5.63e+00 0.006 3.046 1.162 5.17e+00 0.008 3.046 0.921 4.00e+00 0.016 
745 3.945 0.298 8.99e-01 0.037 nan -inf nan nan 10.854 0.561 8.20e+00 0.027 10.813 0.625 9.65e+00 0.027 10.813 0.681 1.09e+01 0.023 
746 4.027 0.226 2.26e-01 0.034 nan -inf nan nan nan -inf nan nan 29.822 1.294 6.56e+01 0.002 30.149 1.080 6.13e+01 0.007 
747 nan -inf nan nan nan -inf nan nan 13.531 1.439 4.28e+01 0.004 13.531 1.399 3.74e+01 0.007 13.429 1.323 2.75e+01 0.012 
748 4.333 0.264 2.81e-01 0.038 8.605 0.272 5.84e-01 0.038 13.654 0.102 3.18e+00 0.045 22.259 0.058 3.33e+00 0.178 76.097 0.191 2.24e+01 0.052 
749 nan -inf nan nan nan -inf nan nan 22.382 1.180 3.06e+01 0.002 23.220 0.752 2.25e+01 0.004 22.872 0.533 1.44e+01 0.037 
750 0.572 0.128 1.31e-01 0.095 0.552 0.189 5.52e-01 0.118 4.579 0.104 4.96e-01 0.057 4.579 0.106 4.99e-01 0.032 4.579 0.101 5.12e-01 0.045 
751 4.415 0.327 1.06e+00 0.040 8.523 0.414 3.33e+00 0.014 nan -inf nan nan 30.496 0.814 2.44e+01 0.014 30.455 0.472 1.58e+01 0.029 
752 0.593 0.087 1.47e-01 0.107 0.572 0.145 5.72e-01 0.115 11.569 0.028 1.09e+00 0.455 38.713 0.636 2.09e+01 0.022 40.655 0.459 2.25e+01 0.015 
753 1.901 1.098 4.58e+00 0.011 1.880 0.968 5.71e+00 0.024 1.880 0.799 5.53e+00 0.026 1.880 0.763 5.07e+00 0.017 1.880 0.655 3.50e+00 0.018 
754 0.531 0.102 1.05e-01 0.140 9.014 0.246 5.13e-01 0.037 16.188 0.268 6.82e+00 0.017 16.209 0.121 4.20e+00 0.092 62.301 0.246 1.79e+01 0.037 
755 3.250 1.036 3.57e+00 0.005 3.270 0.720 2.92e+00 0.003 3.209 0.550 1.75e+00 0.016 3.209 0.510 1.33e+00 0.014 3.189 0.463 8.45e-01 0.013 
756 nan -inf nan nan nan -inf nan nan 17.721 1.484 5.65e+01 0.000 17.680 1.425 5.07e+01 0.001 17.619 1.311 4.29e+01 0.002 
